"card","reports","age","income","share","expenditure","owner","selfemp","dependents","months","majorcards","active"
1,0,37.66667,4.52,0.03326991,26,1,0,3,54,1,7
0,0,31.66667,7.5,0.00016,0,0,0,3,34,1,13
1,0,39.5,3,0.004155556,15,1,0,4,58,1,9
1,0,20.08333,2.54,0.1919466,137.8692,0,0,0,8,1,11
0,0,32.16667,9.7867,0.1178903,294.5592,1,0,2,64,1,5
1,0,37.25,2.5,0.0444384,0,0,0,0,54,1,1
1,0,27.91667,3,0.01257576,40.83333,0,0,0,7,1,5
1,0,28.66667,2.95,0.09361254,150.79,1,0,0,77,1,4
1,0,37,3.8,0.2456279,777.8217,1,0,3,97,1,8
1,1,28.41667,4,3e-04,52.58,1,1,0,65,1,18
1,9,30.33333,2.3,0.07802456,256.6642,0,1,3,15,1,20
0,3,40.16667,3.7099,0.0003234589,0,0,0,2,15,1,11
0,4,30,2.8,0.0006936416,0,0,0,0,42,0,12
1,0,28.83333,2.45,0.002961538,5.583333,1,0,0,84,1,21
1,0,26.25,1.908,0.124375,42.615,1,0,2,120,1,10
1,0,31.08333,5.1,0.1696612,335.435,1,0,1,168,1,9
0,1,38.58333,3.2,0.000375,0,0,0,2,14,1,6
0,7,25.16667,1.8,0.09848222,0,1,0,0,60,1,8
1,0,20.58333,1.2,0.001,548.035,0,1,1,28,1,0
1,3,41.66667,3.4,0.0003529412,148.3725,1,0,0,28,1,10
1,0,35.25,2.35,0.02445829,43.33917,1,0,2,131,1,1
0,1,23.25,4.32,0.1877141,0,0,0,2,7,0,11
1,0,30.66667,3,4e-04,218.52,1,0,1,28,1,0
1,0,35.75,3.2,0.01023563,26.87833,0,0,1,16,1,2
1,0,42.66667,5.14,0.008949417,37.58333,0,0,0,192,0,17
1,0,30.25,5,0.1337421,502.2017,1,0,2,36,1,7
0,1,21.66667,3.15,0.0003125,0,0,0,1,40,1,5
1,0,22.25,2.3,0.1644965,73.17667,1,0,1,13,0,4
1,0,28,2.5,0.00048,42.51667,1,0,0,12,1,3
1,0,40,5.5,0.05800388,1532.773,0,0,4,24,1,19
1,0,21.83333,7.24,0.03904502,42.69083,1,0,2,177,0,5
1,1,29.41667,2.2,0.1567194,148.19,0,0,0,8,1,6
1,1,24.91667,3.15,0.0003809524,948.3625,1,0,0,6,1,19
1,0,37.75,2.4663,0.2689328,324.6183,1,0,3,28,1,10
1,0,23.83333,3,0.004564103,6.5,0,0,2,96,1,2
1,0,42.83333,2.66,0.04462218,541.2958,1,0,6,228,1,15
0,0,21.66667,5.1,0.000525279,0,0,0,0,25,1,0
1,0,30.41667,5.7,0.1197419,568.7742,0,0,1,16,1,4
1,0,26.75,1.7,0.1181043,344.4708,0,0,0,6,1,4
1,0,27.75,3.64,0.03113791,405.3517,0,0,1,28,1,13
0,2,26.25,3,4e-04,0,1,0,0,7,1,10
1,0,22.5,1.8,0.1196106,53.645,0,0,0,8,1,1
1,0,23,1.51,0.03514566,63.91667,0,0,1,7,0,1
1,1,30,2.625,0.0004571429,165.855,0,1,0,60,1,12
0,5,40.08333,2.6,0.004807692,0,0,0,0,12,1,1
1,0,28.16667,2.3115,0.0006666667,54.96917,0,1,2,158,1,2
1,0,35.58333,1.632,0.1754246,238.3275,0,0,1,4,1,4
1,0,30.83333,3.2628,0.04374329,108.2958,0,0,1,98,0,9
1,0,22.16667,1.6,0.04285106,200.5867,0,0,1,27,0,3
1,0,31.83333,2.4192,0.05800388,644.8283,1,0,0,0,1,7
0,0,80.16666,1.5,8e-04,0,0,0,2,12,1,0
1,0,35,4.1125,0.0559685,101.2008,0,0,0,37,1,12
0,3,44.58333,2.5,0.00048,0,0,0,2,62,1,18
1,1,30.58333,3.305,0.006686838,34.125,0,0,0,48,1,8
1,0,28,2.4,0.02366667,42.51667,0,0,0,34,0,2
1,0,28.5,3.4,0.02121324,59.85417,0,0,0,207,0,4
1,0,33.25,4.8,0.0003243243,1898.033,1,0,3,72,1,1
1,0,33.25,1.92,0.3058082,810.3917,0,0,4,18,0,6
0,0,44.66667,2.04,0.0006666667,0,1,0,0,35,1,11
0,0,27.16667,1.5,0.8778461,32.775,0,0,0,4,1,4
0,2,25.08333,3.05,0.1017243,95.79916,0,0,0,94,1,5
0,0,27.16667,1.672,0.0007177034,0,0,0,0,27,1,0
1,0,28.16667,3.35,0.0921725,199.3692,1,0,1,18,1,16
1,0,36.83333,3,4e-04,79.51083,1,0,0,12,1,16
0,3,29,4.9,0.000244898,0,1,0,2,16,1,15
0,0,63.75,6,0.00048,0,0,0,0,50,0,14
1,0,40.75,6,0.06123966,306.0317,0,1,2,182,1,16
1,0,42.08333,3.9495,0.03221615,104.5358,1,0,0,78,0,0
1,0,45.58333,5.1,0.01031111,115.4167,1,0,2,25,1,9
1,0,24.25,4,0.1076917,358.9725,0,0,0,7,1,10
1,0,30.75,2.4585,0.1503596,308.0492,1,0,2,53,1,14
1,0,27.41667,2,0.0004418099,186.3533,0,0,1,9,0,5
1,1,48.75,2.7,0.0004444444,56.14917,0,1,0,144,1,2
1,0,37.33333,10.4,0.05719193,2001.547,0,0,2,13,1,0
1,0,28.16667,2.2,0.05078546,93.10667,1,0,0,144,1,10
0,0,24.33333,4.1,0.0002926829,0,0,0,0,12,0,6
1,0,24.25,3.75,0.2508032,292.6633,0,0,0,18,1,0
1,0,24.16667,2.88,0.04106146,219.2717,1,0,0,8,1,5
1,0,0.5,1.8,0.1017243,258.5492,0,0,1,94,1,2
0,0,31.58333,2.55,0.0005929733,0,0,0,2,14,1,3
0,0,32.75,2.1,3e-04,0,0,0,2,12,1,0
1,0,54.58333,3.6,0.02984697,116.315,1,0,1,48,1,8
1,0,19.58333,2.19,0.4874438,108.6075,0,0,0,6,1,8
1,0,23.08333,1.725,0.0006956522,49.55583,0,0,0,204,1,5
1,0,40.16667,3.7099,0.0003234589,703.4067,1,0,1,15,1,13
1,0,40.75,3.54,0.006866666,19.59,0,0,2,177,1,13
1,1,41.25,4.386,0.0002735978,209.8442,1,0,3,172,1,6
0,0,34.5,1.8,0.07033833,0,1,0,2,33,0,18
0,0,23.66667,3,0.1275373,0,0,0,0,72,1,0
0,0,28.5,4.232,0.0002870813,437.1342,0,1,1,288,1,5
0,0,34,5.5,0.07068036,0,0,0,0,98,1,3
1,0,36.91667,2.8055,0.0004277313,148.19,1,0,1,8,1,0
1,1,37.08333,2.4,0.03435875,732.9792,1,0,1,60,1,0
1,4,35.16667,4.0188,8e-04,552.3417,0,0,3,7,0,9
0,1,43.75,8.4,0.1329034,0,0,0,3,180,1,19
1,0,21.66667,1.56,0.02909975,82.65916,1,0,0,12,1,2
0,0,38.5,5.97,0.000201005,0,1,0,1,48,1,6
1,1,27.25,3.5,0.07804389,234.0483,0,0,2,6,1,4
0,6,26.25,5,0.000375,0,1,0,0,88,1,7
1,0,46,1.8,0.4559923,683.9883,1,0,2,98,1,7
1,1,35,3.5091,0.1101059,466.3475,0,0,0,72,1,9
1,0,35,4.55,0.1130587,282.5633,1,0,2,16,1,6
0,0,21.5,2.9,0.0004137931,0,0,0,0,7,0,3
1,0,23.83333,1.8,0.09848222,147.7233,0,0,0,1,1,5
1,0,26.58333,4.2,0.04768381,166.7267,1,0,2,53,1,0
1,0,23.16667,2.15,0.03427907,61.33333,0,0,0,10,0,0
0,0,23,2.425,0.0004948454,0,0,0,1,132,1,6
1,0,22.33333,2,0.1313552,274.9467,0,0,0,13,1,0
1,0,40.91667,9.9999,4e-04,635.0508,1,0,2,120,1,17
1,0,27.08333,2.4,0.02186308,182.825,1,0,1,56,1,18
1,0,21.16667,2.95,0.03642203,89.37083,0,0,0,2,1,17
1,0,41.91667,2.6,0.004230769,1011.333,0,0,0,36,1,3
1,0,46.25,2.4,0.1137675,188.295,0,0,0,1,1,29
0,0,45.58333,1.875,0.01031111,0,0,0,2,7,0,9
0,3,44.58333,4,0.00048,0,0,0,0,62,0,5
1,0,31.83333,3.1,0.1304742,337.0583,0,0,0,51,1,3
1,1,37.66667,2.35,0.0608075,101.2625,1,0,0,36,1,3
0,0,30.25,3.38,0.0003550296,0,0,0,2,18,1,15
1,0,61,3,0.030976,77.35667,0,0,2,18,0,24
1,0,26.66667,4.3,0.03419023,122.515,0,0,0,108,1,4
0,0,23.41667,6.5,0.0001200012,0,0,0,2,27,1,5
1,0,31.83333,2.5,0.0067932,13.4025,0,0,0,32,1,3
1,0,27.25,3,0.02482904,127.5342,0,0,0,16,1,5
0,11,26.41667,3.5,0.004230769,0,1,0,0,52,1,27
1,1,18.66667,9.9999,0.0568759,917.54,1,0,0,51,1,29
1,0,34.33333,2.5685,0.0032,11.16667,0,0,4,54,1,3
1,0,39.58333,2.6,0.0316508,56.33333,0,0,3,70,1,9
1,0,20.08333,1.74,0.1919466,277.9892,0,0,0,8,1,0
1,0,24.75,2.1,0.1966748,126.0225,0,0,1,14,0,19
1,0,31.83333,3,0.095609,238.8558,1,0,3,120,1,0
0,0,31.08333,4.2,0.0002857143,0,0,0,3,52,1,19
0,0,53.33333,5.5689,0.04341593,0,1,1,3,30,0,7
1,0,24.25,2.13,0.02122066,112.9942,0,0,1,13,1,4
0,1,25.41667,2.5,0.1573136,0,0,0,2,147,0,3
1,0,21.83333,1.68,4e-04,156.5833,0,0,0,18,0,2
0,4,24.83333,2.8,0.0004285714,0,0,0,0,12,1,7
1,0,37.41667,1.968,0.006455285,61.73583,1,0,0,114,0,4
1,0,22,2.6,0.03947758,182.1675,0,0,0,6,1,8
1,0,32.5,1.5896,0.2052491,271.5533,0,0,0,180,1,8
1,0,42,3.6,0.01785056,361.1617,0,1,0,6,1,12
1,0,24.16667,3,0.1130587,282.5633,0,0,0,16,1,12
0,0,39.33333,2.3004,0.08315605,0,0,0,0,46,1,4
1,0,26.5,3.36,0.007138088,6.5175,1,1,0,12,1,2
1,1,33.16667,6,0.09483,474.15,0,0,0,62,1,6
1,0,43.08333,4.288,0.0002798507,43.03917,1,0,0,24,0,2
1,0,30.33333,2.5,0.0356228,462.6558,1,0,2,29,1,17
1,1,25.08333,1.5,0.0128,15.41667,0,0,1,12,1,5
1,0,35.66667,2.5,0.1049978,313.3525,1,0,1,14,1,13
1,1,44.5,2.2,0.01795825,69.79333,1,0,0,36,1,13
1,3,43.25,3,0.03142812,175.9975,1,0,3,30,0,27
1,4,50,4.3,0.03620279,129.3933,0,1,2,264,1,15
0,1,31.75,3,0.003666667,8.333333,1,0,0,36,1,5
0,2,28.33333,3.3,0.0003037975,0,1,0,1,27,1,17
1,0,28.16667,4.7,3e-04,0,1,0,0,6,1,19
1,0,20.66667,2,0.100224,461.26,0,0,0,164,0,1
0,0,24.41667,2.8,0.0146375,33.57083,1,0,0,60,0,11
1,0,28.33333,1.566,0.07067624,91.7325,0,0,0,55,1,1
1,0,22.08333,1.65,0.04985151,68.54583,0,0,0,36,1,0
1,0,24.66667,3.4,0.05114029,145.3792,0,0,0,12,1,8
1,0,23.16667,7.701,0.06251058,478.7125,1,0,0,12,1,4
1,0,24.5,2.8,0.05955571,138.7133,0,0,0,5,1,0
1,0,47.33333,2.7495,0.04245641,110.3033,0,0,0,156,1,11
1,0,33,3.15,0.02855478,150.1767,0,0,0,30,0,2
1,0,38.83333,3.3,0.02411576,65.81834,1,0,0,57,1,3
0,0,32.58333,2.6,0.3961604,0,0,0,0,33,1,16
1,4,40.41667,2.448,0.1502422,426.4467,1,0,1,11,1,12
1,0,37.75,3.5,0.067888,197.9233,1,0,4,48,1,9
1,0,24.08333,2.3,0.02563117,59.1475,0,0,0,12,1,0
1,0,26.41667,3.48,0.05121034,148.26,1,0,0,14,1,13
0,0,24.91667,2.938,0.02812798,0,0,0,0,36,1,11
1,0,65.91666,2.95,0.0004848485,118.7133,1,0,1,230,1,19
0,5,28.58333,3.12,0.0003846154,0,0,0,0,38,1,7
1,0,52.41667,1.89,0.00048,37.42916,0,0,1,240,1,0
1,1,26.5,3,0.029469,73.1725,1,0,0,51,1,4
1,0,27.91667,6,0.01257576,86.22667,1,0,2,48,1,5
1,0,28.41667,5.2,0.04854384,105.095,0,0,0,27,0,6
1,0,23.58333,3.9,0.01830487,58.99083,0,0,2,33,1,7
0,1,33.83333,2.9,0.00048,0,0,0,0,147,1,6
1,1,34.66667,2.1,0.0003636364,0,1,0,0,209,0,3
1,0,23.75,1.672,0.0251939,123.8917,0,0,0,27,1,0
1,0,49.16667,5.2,0.01664154,71.53,1,0,1,24,1,6
0,0,32.41667,2.06,0.0005825243,15.83333,0,0,0,48,1,8
1,0,31.25,5.6965,0.008123409,97.94,0,0,2,2,0,26
1,0,28.08333,2.8463,0.007026666,46.14167,1,0,1,120,1,0
0,3,41.58333,1.68,0.0007142857,0,0,0,0,2,1,3
0,1,40.83333,3.5,0.090862,0,0,0,1,42,1,8
1,0,31.33333,3.2,0.04113469,74.72667,0,0,1,11,1,0
1,1,30.16667,1.7472,0.07818501,474.5,1,0,4,43,1,14
1,0,57.66667,2.5,0.004564103,105.125,1,0,2,96,1,13
0,0,28.33333,5,0.0501734,0,0,0,3,10,1,4
0,0,24.16667,2.8896,0.0005171522,0,0,0,0,62,0,3
1,0,25.41667,3.7,0.143523,144.3842,0,0,1,17,1,8
1,0,24.25,4,0.1076917,178.9158,0,0,0,6,1,10
1,0,20.5,2.3,0.03099,59.1475,0,0,0,6,1,0
1,0,27.91667,2.04,0.01792304,0,0,0,1,11,1,4
0,0,46.16667,3.96,0.01257576,40.83333,0,0,2,7,1,8
1,0,21.91667,4.74,0.0002531646,465.195,1,0,1,168,1,4
1,0,25.33333,2.52,0.04465253,169.0575,1,0,2,42,1,10
1,0,23.83333,2.625,0.0004571429,501.8025,0,1,0,20,1,2
1,0,49.41667,2.4,0.0004761905,88.5925,0,1,0,77,1,6
1,0,26.08333,2,0.1235615,282.8758,0,0,1,2,1,6
1,0,29.16667,2.58,0.02238596,361.1617,0,0,0,6,1,12
1,0,30.75,3.15,0.05726571,150.1767,1,1,4,128,0,3
0,0,29.33333,2.3,0.04004043,0,0,0,2,24,0,3
1,0,47.58333,1.9,0.2731216,58.24583,0,0,0,19,1,6
1,0,21.58333,2.25,0.03186978,59.08916,0,0,0,56,1,1
1,0,30.41667,2,0.01856679,42.31083,1,0,3,76,1,14
0,0,22.83333,2.55,0.000381255,0,0,0,2,19,0,13
1,1,37.66667,2.46,0.01116743,64.56,0,0,3,4,1,11
1,0,23.25,1.8,0.03098167,102.9767,0,0,1,4,0,0
1,0,24,2.7811,0.05255475,121.6333,0,0,0,4,1,0
0,3,31.66667,7,0.109958,0,1,0,0,30,0,22
0,0,53.16667,1.95,0.0006153846,0,0,0,0,156,0,11
1,0,25.75,3.1475,0.02071958,41.18917,0,0,0,19,1,2
0,0,24.91667,2.35,2e-04,0,0,0,3,17,1,2
0,4,25.16667,1.65,0.0007272727,84.275,0,0,0,36,1,17
1,0,61.08333,4.32,0.03697246,323.9517,0,0,1,98,0,4
1,0,29.16667,2.4663,0.0767256,159.595,1,0,1,12,1,21
1,0,35.33333,2.88,0.04106146,135.045,0,0,1,6,1,0
1,0,33.16667,3.5,0.08595,398.0475,0,0,4,84,1,4
1,0,42.75,4.56,0.04965899,188.6208,0,0,2,144,1,1
1,0,30.66667,2.74,0.01036232,23.25,0,0,3,30,1,8
1,0,25.41667,1.56,0.1013325,214.065,1,0,0,12,1,9
1,7,54.25,3.2388,0.1005738,0,0,0,0,50,1,16
1,0,27.91667,3,0.0003125,40.83333,0,0,0,7,1,5
1,0,32.83333,1.32,0.03875531,552.7242,0,0,1,12,1,2
0,0,25.83333,4.506,0.1337421,0,0,0,2,38,1,3
0,3,32.75,2.04,4e-04,0,1,0,3,35,1,11
1,0,31.25,7.2904,0.0743784,474.5,1,0,4,43,1,14
1,0,25.08333,2.55,0.007960784,16.25,1,0,0,6,1,0
1,0,49.83333,6.9,0.02910716,78.75083,0,0,1,160,0,0
1,0,24.66667,4.38,0.1754246,238.3275,0,0,5,4,1,5
1,0,40.75,2.69,0.1571033,352.1733,1,0,2,38,1,0
1,0,30.75,2.2,0.04216182,33.5075,1,0,2,17,1,9
1,0,27.83333,3.24,0.1843664,120.4033,1,0,3,25,1,16
1,0,25.25,3.3,0.0003636364,0,1,0,1,72,1,23
1,0,21.66667,2,0.1106287,198.5483,1,0,0,18,1,7
1,0,20.5,1.54,0.08959676,93.625,1,0,1,6,1,15
0,0,28,3.4,8e-04,0,0,0,1,12,0,0
0,1,51.66667,3,0.07210633,0,1,0,2,22,1,0
0,0,41.83333,1.75,0.1501082,0,0,0,3,84,0,0
1,0,47.16667,7,0.02165545,301.2525,1,0,1,60,0,8
1,0,53.5,1.5,0.1795448,0,1,0,0,57,0,9
1,0,26.08333,2.3,0.03560869,66.7325,1,1,2,24,1,12
1,0,20.5,4.5,0.0002666667,0,0,0,0,3,1,0
1,0,27.75,2.2,0.1403464,0,0,0,1,3,0,6
1,0,24.33333,4.32,0.002791667,675.7708,0,0,2,18,1,11
0,0,23.08333,2.6,0.0004615385,0,0,1,0,4,1,5
0,0,20.33333,1.6752,0.0006153846,0,0,0,0,10,1,1
1,0,83.5,4,0.005848564,29.975,1,0,0,38,1,11
1,0,24.5,3.5412,0.06905923,541.2958,1,0,6,108,1,2
1,0,33.75,2.8,0.104841,108.6233,1,0,0,14,1,20
0,0,27.08333,2.65,0.008601538,20.47917,1,0,0,12,1,9
1,0,26.91667,2.55,0.02667368,41.81667,0,0,1,60,1,9
1,0,65.91666,3,0.227364,568.2433,1,0,1,230,1,2
1,0,23.41667,3.12,0.08677917,225.4592,0,0,0,7,0,6
1,0,45.58333,13.5,0.01031111,115.4167,1,0,2,126,1,9
0,1,46,6,2e-04,0,0,1,1,96,1,46
1,0,25.33333,1.5548,0.0007718034,10.42,0,0,0,36,1,0
1,0,35.91667,5.5,0.07068036,0,0,0,0,18,1,15
1,0,41.83333,2.75,0.019072,43.20667,0,0,1,12,0,0
0,0,22,2.1,0.0005714286,0,1,0,0,51,1,16
0,0,26.41667,3.5,0.0003428572,0,1,0,0,41,0,27
1,1,33.91667,2.8,0.1483196,270.3683,0,0,0,15,1,11
1,0,25.25,5.9,0.06604102,324.6183,1,0,3,16,1,0
1,0,28.25,5.4,0.05977204,268.7242,1,0,4,204,0,7
1,0,54.08333,4,0.01336725,249.1658,1,0,1,50,1,13
1,0,28.41667,2.6,0.04854384,105.095,1,0,0,179,1,6
1,0,46.91667,3.4,0.03101882,436.275,0,0,0,42,0,4
1,0,28.33333,2.08,0.04364769,141.6883,0,0,0,5,1,0
1,0,57.66667,10.0393,0.05074,105.125,1,0,1,12,1,18
1,0,31.58333,1.95,0.03098154,50.17833,0,0,0,7,1,4
1,0,25.66667,2.1,0.18692,327.11,0,0,0,13,1,13
0,0,27.33333,3,0.03242008,0,1,0,1,28,1,6
1,1,39,3.2,0.04514543,131.6742,1,0,2,25,0,8
0,4,37.5,3.7,0.1893335,0,0,0,0,40,1,14
1,0,26.08333,3.067,0.04285106,83.08334,0,0,2,18,0,0
1,0,24.41667,2.8,0.0444384,33.57083,0,0,0,54,1,11
1,0,34.91667,4.8,0.01464867,36.205,1,0,1,30,1,2
0,0,24.91667,4.74,0.08519435,0,1,0,0,26,1,0
1,1,29.83333,2.8,0.03458607,80.45084,1,0,0,60,1,9
1,0,20.66667,4.2,0.002619048,167.04,0,0,0,59,1,13
1,3,47.5,4,0.1792845,463.1517,0,0,2,24,1,9
0,3,25.91667,1.65,0.0007272727,0,0,0,0,36,0,5
1,0,34.16667,4,3e-04,88.94667,1,0,1,28,1,2
0,0,36,4.5,0.0001859543,0,1,0,2,228,1,13
1,1,47.41667,3.6,0.03811111,11.00417,0,0,2,18,0,7
1,0,25.25,2.16,0.02055556,281.8067,0,0,0,38,0,2
0,0,22.33333,1.8,0.0003677823,0,0,0,1,3,0,6
1,0,22.91667,1.8142,0.05414067,17.17167,0,0,0,9,1,1
0,0,23.83333,7.88,0.03838103,0,0,1,0,40,0,4
1,2,21.25,2.6,0.030976,0,0,0,2,18,0,2
0,0,40.5,3.57,0.0003361345,0,1,0,0,56,1,7
1,0,25.41667,2.8,0.1660628,86.54667,1,0,0,12,1,6
0,0,24.33333,3.64,0.03113791,0,0,0,0,41,1,6
0,1,53.58333,9.9999,0.0998702,0,1,0,3,14,1,3
0,0,27.5,2,6e-04,0,0,0,0,48,1,0
0,0,34.83333,6.5,0.1407468,154.74,1,0,0,40,1,13
1,0,43.83333,3.25,0.05890216,26,1,0,2,51,1,7
1,0,40.75,3.2,0.1270335,227.6017,0,0,0,67,1,16
1,0,38.58333,4,0.1139598,379.8658,0,0,0,28,1,8
1,0,28.75,7,0.2400213,631.9725,0,0,0,3,1,5
1,0,25.41667,2.7,0.000299222,144.3842,0,0,0,42,1,0
0,0,29.08333,1.78,0.0006741573,0,0,0,0,50,1,7
1,0,32.91667,3,0.068022,169.8883,0,0,3,216,1,2
0,4,41.83333,2.75,0.0007019597,0,1,0,1,42,0,2
0,1,29.5,2.2593,0.06498916,61.19917,1,0,0,6,1,11
1,0,26.41667,3.5,0.1319654,5.583333,0,0,2,84,1,21
1,0,40.33333,9.9999,0.01830487,58.99083,1,0,4,14,1,21
1,0,33.91667,2.1888,0.1483196,270.3683,1,0,1,6,1,0
0,4,37.58333,9.9999,0.002227999,4.583333,0,1,2,93,1,13
1,1,27.33333,2.7,0.09362111,210.6475,1,0,2,9,1,15
1,0,21.66667,2.16,0.1106287,198.5483,1,0,0,3,1,0
0,0,21.66667,4,0.0012,3.166667,0,0,0,18,1,7
1,5,29.41667,4.5,0.0002666667,126.1033,1,0,0,36,1,5
0,0,33.75,2.1,0.0006666667,0,1,0,3,11,1,5
1,0,38.5,2.75,0.04341593,201.4825,0,0,0,30,1,7
1,0,31.41667,3,0.01701942,172.5717,1,0,1,24,1,13
1,0,24.83333,6.2,0.0005333333,881.2642,0,0,0,12,1,0
0,0,28.5,4.232,0.001,0,0,0,0,15,1,0
1,2,50,2.6,0.03620279,129.3933,1,0,1,31,1,15
1,0,26.33333,4.2,8e-04,166.7267,1,0,0,53,1,0
1,0,23.08333,3,0.1966748,63.99166,0,0,1,22,1,19
1,1,52.33333,2,0.1843664,497.7058,1,0,3,54,1,16
1,1,21.91667,3,0.0005405406,0,0,0,1,4,1,0
1,2,34.83333,4.9,0.06025,100.4167,0,0,1,408,0,8
0,0,27.41667,1.6,0.00075,0,1,0,1,42,1,0
0,2,28.33333,3.5,0.0003636364,0,1,0,1,36,1,17
0,3,44.58333,2.5,0.00048,0,1,0,2,62,1,5
1,0,34,4,0.09011575,299.8858,1,0,2,4,0,6
1,0,35.83333,1.85,0.1075816,165.855,0,0,0,27,1,12
1,0,42,2.7,0.04682963,213,1,0,4,15,1,7
1,0,32.08333,2.4,0.1893335,285.2825,1,1,2,96,0,2
0,5,27.66667,10.9999,0.0005660377,0,0,0,0,44,1,0
0,0,34.5,1.95,0.0006153846,0,1,0,0,14,1,1
0,0,40.33333,3.25,0.0509016,0,0,0,1,24,1,7
0,1,32.33333,6,2e-04,0,0,0,4,52,1,4
0,0,30.16667,1.5,5e-04,0,0,0,0,20,1,4
0,0,45,2.07,0.0005797101,0,0,0,0,72,1,2
0,0,31.66667,2.3,0.0005217391,0,0,0,0,24,1,12
1,0,44.5,9,0.0005086207,1949.862,1,0,0,4,1,8
1,0,20.5,1.6,0.06038794,100.1433,1,0,0,3,1,0
1,0,56.91667,3.7,0.2004224,219.2717,1,1,1,8,1,5
1,1,34.41667,5,0.1537802,615.1208,1,1,1,108,1,17
0,0,32.58333,1.5678,0.0005555556,0,1,0,1,38,1,0
1,0,44.91667,5.8,0.03635741,145.6958,1,0,0,148,1,3
1,0,50.91667,1.75,0.05063821,310.8417,0,0,0,27,1,1
0,2,30.83333,2.98,0.04374329,0,0,0,3,72,1,9
1,0,32.91667,1.9,0.1776717,402.7225,1,0,3,108,1,8
0,1,26.16667,5.5,0.000486618,0,1,0,1,14,1,13
1,0,26.5,2.16,0.1106477,239.4867,1,0,0,12,0,0
1,2,35.83333,2.4,0.02359458,46.60583,0,1,1,13,1,31
0,7,36.91667,2.6,0.0003428572,0,1,0,2,60,1,7
0,0,22.66667,2.5,0.00048,0,0,0,3,27,1,0
1,0,47.75,2.6372,0.07661206,13.91667,1,0,0,48,1,12
1,0,49.16667,5.2,0.01664154,134.9183,1,0,1,15,1,6
1,1,40.33333,2.8,0.1285348,88.73917,0,0,3,12,0,5
1,0,38.16667,5.5,0.001833333,205.5133,1,0,4,99,1,2
0,2,32.58333,6.8,0.09980781,0,1,0,3,56,1,20
1,0,25.25,3.7,0.03311243,0,1,0,2,75,1,23
1,0,29.25,4.467,0.07505192,424.1767,0,1,0,60,1,6
1,0,23,1.8,0.0002307692,167.2125,0,0,2,12,1,0
1,0,22.91667,4.8,0.05806896,232.2758,1,0,2,2,1,12
1,0,61,1.5,0.2893312,385.775,0,0,0,192,1,3
0,0,35.16667,3.84,0.0003125,20.18083,0,0,0,38,0,2
0,0,20.08333,1.8504,0.0006470588,0,0,0,0,14,0,0
1,0,30.33333,2,0.038431,119,0,0,0,8,1,0
0,2,27.08333,3.7,0.0003243243,0,0,0,0,84,0,3
1,0,39,2.4317,0.08052638,131.6742,0,0,2,18,0,28
1,0,24.16667,2.7885,0.0004303389,143.4292,0,0,0,4,1,0
1,0,47.08333,4.5,0.1200515,523.125,1,0,0,3,1,13
1,0,24.83333,2.8,0.0004285714,19.59,0,0,2,12,1,0
1,3,32.16667,2.8,0.0004285714,31,1,0,2,106,0,11
1,0,29.08333,4.5,0.104378,48.615,0,0,1,50,1,7
1,0,45,3.8,0.01116743,64.56,1,0,3,90,1,3
0,0,33.33333,2.1,0.00024,0,0,1,0,14,1,0
1,0,26.08333,3,0.1686141,379.2983,0,0,0,28,1,0
1,2,35.16667,4.815,0.04295223,171.5125,1,0,2,30,1,18
1,0,26.58333,6.5,0.0001846154,398.8508,1,0,2,12,1,6
1,0,29.41667,1.92,0.08789534,34.09167,0,0,2,12,1,21
1,0,56,1.45,0.0008275862,423.1267,1,0,0,94,1,5
0,4,37.5,2.6,0.0007058823,0,0,0,1,40,1,0
1,0,22.91667,1.92,0.09670267,241.4233,1,0,2,12,1,21
1,0,39.75,2.45,0.245766,145.7192,0,0,1,6,1,9
1,0,20.08333,3.4,0.2893312,0.9166667,0,0,0,192,1,0
1,0,23.91667,2.5,0.245766,512.0125,0,0,0,15,0,0
0,0,39.66667,3,0.1275373,8.778334,1,0,0,146,1,17
1,0,26.83333,3.15,0.03904502,189.6842,0,0,0,6,1,0
0,0,27.25,3.5,0.06670286,8.333333,0,0,0,6,1,15
1,0,19.58333,1.8,0.121795,147.7233,0,0,0,1,1,0
0,5,24.08333,3.3,0.1584613,0,1,0,1,75,1,9
1,0,22.83333,2,0.0229845,249.1658,0,0,0,25,1,3
0,0,27.08333,4.1,0.115781,0,0,1,2,18,1,14
1,0,41.83333,2.97,0.08264108,204.5367,0,0,0,4,1,0
0,0,30,1.73,0.0006936416,148.3725,1,0,3,42,0,0
1,0,40,2.3115,0.02862341,170.4667,0,0,1,158,1,9
1,0,24.16667,2.8896,0.04229,193.0675,0,0,2,12,0,0
0,0,21.08333,1.5344,4e-04,0,0,0,0,14,0,11
1,0,34.66667,5.1,0.0140794,58.08083,1,0,4,6,1,10
1,0,22.58333,2.25,0.1534315,613.6425,1,0,0,12,1,4
1,0,25.58333,3.41,0.0509016,105.9617,0,0,1,24,1,6
